tag,title,grouping,weight,section,notes
marmotPrecip,"Marmot PreCip rain jacket — red, M",Shell,10.9 oz *(mfr)*,Clothing — insulation & shells,Photos 6978/6998-tag. Your named rain shell — maps to the app's existing `rainShell`.
patagoniaVest,"Patagonia Down Sweater Vest — red, M",Insulation,8.9 oz *(mfr; current listing)*,Clothing — insulation & shells,"Photo 1982944. 800-fill down core warmth, no sleeves — excellent summit-pack insurance layer."
navyDownHoody,"Navy down hoody, red liner (likely REI Co-op 650 Down Hoodie — **confirm**)",Insulation,~11.5 oz *(est)*,Clothing — insulation & shells,Photo 1982996. Circular evergreen sleeve badge points to REI Co-op; collar tag wasn't legible. This is the strongest candidate for your camp puffy at 35–40°F. **Q: confirm brand.**
mhwWindShell,"Mountain Hardwear half-zip wind shell — sage, M",Shell,~4.0 oz *(est)*,Clothing — insulation & shells,"Photos 1982972 + 1982994 (MHW ""MENS M"" tag verified). Kor Preshell–class. Superb high-output layer for the pre-dawn start. **Q: model name if known.**"
ragnarJacket,"Ragnar race full-zip track jacket — navy, M",Casual,~14 oz *(est)*,Clothing — insulation & shells,"Photo 6969. Lodging/travel wear, not a mountain layer."
fitnessGearVest,Fitness Gear wind vest — black,Casual,~5 oz *(est)*,Clothing — insulation & shells,Photos 6979/6980. Light wind layer; town/travel tier.
meriwoolBase,"MERIWOOL Merino 250 midweight crew — camel, M",Base layer,~10.5 oz *(est)*,Clothing — base layers & bottoms,"Photos 6972 (tag: ""MERIWOOL LAYERS 250g M"") + 1983002. Your sleep/summit-morning base."
grayBaseLayer,Gray-olive long-sleeve base layer — **brand unresolved**,Base layer,~8 oz *(est)*,Clothing — base layers & bottoms,Photo 6982. Small oval hem logo unreadable at photo resolution. **Q: what brand is this?**
blueLongsleeve,"Royal-blue athletic long-sleeves (×2, gray accents)",Base layer,~7 oz each *(est)*,Clothing — base layers & bottoms,Photo 6981. No visible branding; generic synthetic.
columbiaConvertible,"Columbia convertible pants — tan (Silver Ridge–class, Omni-Shade)",Bottoms,~13 oz *(est)*,Clothing — base layers & bottoms,"Photo 6973, Columbia/Omni-Shade tag verified. Zip-off legs suit the warm approach."
marmotPants,Marmot hiking pants — black (**model unconfirmed**),Bottoms,~12 oz *(est)*,Clothing — base layers & bottoms,"Photo 1982914, thigh logo verified. **Q: model if known (Scree? Arch Rock?).**"
uaLinerGloves,Under Armour Storm liner gloves — black,Hands,~1.6 oz *(est)*,Clothing — head & hands,"Photo 1982938, UA logos verified. Matches the app's `gloves` slot."
pearlIzumiHeadband,Pearl Izumi Thermal headband — black,Head,~1.4 oz *(est)*,Clothing — head & hands,"Photo 1982976, logo verified."
fleeceEarband,"Fleece ear-warmer band w/ ear pockets — black, unbranded",Head,~1.5 oz *(est)*,Clothing — head & hands,Photos 1982894/1982904.
neckTube,Thin neck gaiter/tube — black,Head,~1.5 oz *(est)*,Clothing — head & hands,Photo 1982948.
